geometry,tot,영역 구분
"POLYGON ((127.4984334842637 36.09981209704849, 127.4984334753155 36.1002628867206, 127.49787800246388 36.10026287817118, 127.497878014585 36.099812088499206, 127.4984334842637 36.09981209704849))",23.000000000000004,0
"POLYGON ((127.49898895394232 36.099812103022956, 127.49898894816704 36.10026289269516, 127.49843347531521 36.10026288672074, 127.49843348426342 36.099812097048634, 127.49898895394232 36.099812103022956))",86.53999999999999,0
"POLYGON ((127.49954442362191 36.09981210642243, 127.49954442101958 36.10026289609471, 127.49898894816762 36.10026289269529, 127.49898895394287 36.09981210302307, 127.49954442362191 36.09981210642243))",97.77000000000001,0
"POLYGON ((127.50009989330047 36.09981210724694, 127.50009989387107 36.10026289691922, 127.49954442101907 36.100262896094804, 127.4995444236214 36.09981210642253, 127.50009989330047 36.09981210724694))",222.98,0
"POLYGON ((127.50009989387094 36.10026289691894, 127.50009989444159 36.100713686557235, 127.49954441841656 36.1007136857328, 127.49954442101894 36.10026289609452, 127.50009989387094 36.10026289691894))",266.3,0
"POLYGON ((127.49954442101942 36.100262896094456, 127.49954441841705 36.100713685732735, 127.49898894239207 36.10071368233326, 127.49898894816748 36.10026289269504, 127.49954442101942 36.100262896094456))",130.76,0
"POLYGON ((127.49898894816785 36.100262892695, 127.49898894239247 36.100713682333215, 127.49843346636763 36.10071367635871, 127.49843347531603 36.10026288672058, 127.49898894816785 36.100262892695))",147.76,0
"POLYGON ((127.49898894239244 36.10071368233302, 127.49898893661693 36.10116447193727, 127.49843345741903 36.101164465962654, 127.49843346636763 36.10071367635852, 127.49898894239244 36.10071368233302))",215.1,0
"POLYGON ((127.49954441841696 36.100713685732465, 127.49954441581454 36.10116447533676, 127.49898893661651 36.10116447193723, 127.49898894239202 36.10071368233299, 127.49954441841696 36.100713685732465))",410.72999999999996,0
"POLYGON ((127.50009989444247 36.10071368655693, 127.5000998950131 36.10116447616124, 127.49954441581502 36.10116447533679, 127.49954441841744 36.100713685732494, 127.50009989444247 36.10071368655693))",109.65,0
"POLYGON ((127.50009989501302 36.101164476160925, 127.50009989558366 36.10161526573124, 127.49954441321243 36.101615264906776, 127.49954441581491 36.101164475336475, 127.50009989501302 36.101164476160925))",156.77,0
"POLYGON ((127.49954441581455 36.10116447533649, 127.49954441321208 36.10161526490679, 127.49898893084088 36.101615261507206, 127.49898893661654 36.10116447193697, 127.49954441581455 36.10116447533649))",259.21,0
"POLYGON ((127.49898893661607 36.10116447193707, 127.49898893084044 36.10161526150731, 127.49843344846937 36.10161525553259, 127.49843345741819 36.101164465962455, 127.49898893661607 36.10116447193707))",131.32999999999998,0
"POLYGON ((127.49843345741854 36.10116446596268, 127.49843344846973 36.10161525553282, 127.49787796609888 36.10161524698299, 127.49787797822083 36.10116445741299, 127.49843345741854 36.10116446596268))",229.82,0
"POLYGON ((127.49843346636686 36.10071367635861, 127.49843345741826 36.101164465962746, 127.49787797822057 36.101164457413056, 127.49787799034225 36.10071366780904, 127.49843346636686 36.10071367635861))",322.11,0
"POLYGON ((127.4978779903423 36.1007136678092, 127.49787797822061 36.10116445741321, 127.49732249902318 36.10116444628843, 127.49732251431793 36.10071365668461, 127.4978779903423 36.1007136678092))",349.86,0
"POLYGON ((127.49787797822097 36.1011644574133, 127.49787796609904 36.1016152469833, 127.49732248372845 36.10161523585835, 127.49732249902354 36.101164446288514, 127.49787797822097 36.1011644574133))",168.73000000000002,0
"POLYGON ((127.49732249902335 36.101164446287946, 127.4973224837283 36.10161523585777, 127.49676700135804 36.10161522215768, 127.49676701982628 36.101164432588085, 127.49732249902335 36.101164446287946))",220.07,0
"POLYGON ((127.49676701982673 36.101164432588604, 127.4967670013585 36.1016152221582, 127.49621151898867 36.101615205883, 127.49621154063004 36.10116441631366, 127.49676701982673 36.101164432588604))",81.15,0
"POLYGON ((127.49621154063009 36.101164416313296, 127.4962115189887 36.10161520588263, 127.49565603661937 36.10161518703228, 127.49565606143388 36.10116439746326, 127.49621154063009 36.101164416313296))",133.18,0
"POLYGON ((127.4962115622703 36.10071362671015, 127.4962115406294 36.101164416313466, 127.49565606143318 36.101164397463435, 127.49565608624715 36.10071360786043, 127.4962115622703 36.10071362671015))",199.11,0
"POLYGON ((127.49676703829398 36.10071364298448, 127.49676701982615 36.101164432588064, 127.49621154062947 36.10116441631312, 127.49621156227037 36.100713626709805, 127.49676703829398 36.10071364298448))",101.74000000000001,0
"POLYGON ((127.49732251431865 36.10071365668484, 127.4973224990239 36.10116444628865, 127.4967670198268 36.10116443258878, 127.49676703829464 36.1007136429852, 127.49732251431865 36.10071365668484))",284.32,0
"POLYGON ((127.49732252961297 36.100262867046744, 127.49732251431857 36.10071365668453, 127.49676703829454 36.1007136429849, 127.49676705676195 36.10026285334734, 127.49732252961297 36.100262867046744))",145.16,0
"POLYGON ((127.49676705676127 36.10026285334735, 127.49676703829385 36.10071364298492, 127.49621156227025 36.100713626710245, 127.49621158391064 36.10026283707294, 127.49676705676127 36.10026285334735))",174.58,0
"POLYGON ((127.4973225449063 36.09981207737464, 127.49732252961226 36.10026286704644, 127.49676705676121 36.10026285334702, 127.49676707522823 36.099812063675444, 127.4973225449063 36.09981207737464))",19.150000000000002,0
"POLYGON ((127.49676707522859 36.09981206367523, 127.49676705676157 36.100262853346806, 127.49621158391098 36.1002628370724, 127.49621160555091 36.099812047401095, 127.49676707522859 36.09981206367523))",101.72,0
"POLYGON ((127.49621160555078 36.099812047401855, 127.49621158391088 36.10026283707316, 127.49565611106073 36.10026281822375, 127.4956561358736 36.099812028552755, 127.49621160555078 36.099812047401855))",186.06,0
"POLYGON ((127.49621158391052 36.100262837073004, 127.49621156227009 36.10071362671031, 127.49565608624698 36.1007136078606, 127.4956561110604 36.10026281822359, 127.49621158391052 36.100262837073004))",629.99,0
"POLYGON ((127.49565611106075 36.10026281822367, 127.49565608624734 36.10071360786067, 127.49510061022475 36.100713586435916, 127.49510063821117 36.10026279679927, 127.49565611106075 36.10026281822367))",241.68,0
"POLYGON ((127.49565613587399 36.09981202855249, 127.49565611106114 36.100262818223484, 127.49510063821155 36.10026279679908, 127.49510066619735 36.099812007128435, 127.49565613587399 36.09981202855249))",59.18000000000001,0
"POLYGON ((127.49510066619715 36.099812007128165, 127.49510063821134 36.1002627967988, 127.4945451653624 36.100262772799404, 127.49454519652112 36.09981198312914, 127.49510066619715 36.099812007128165))",70.34,0
"POLYGON ((127.49510063821094 36.10026279679935, 127.49510061022453 36.10071358643601, 127.49454513420255 36.1007135624362, 127.49454516536198 36.10026277279995, 127.49510063821094 36.10026279679935))",114.97,0
