frst_next_dstn_nm,dstn_coord_x,dstn_coord_y,vst_cnt,sum_stay_min,second_dstn_addr,second_dstn_x,second_dstn_y,영역 구분,목적지 구분
용진농협로컬푸드직매장/1호점,127.50122731090528,36.10015034144786,11,1115.7055555555553,,,,0,2차 목적지
GS25/청주율량점,127.50122731090528,36.10015034144786,11,2003.65,,,,0,2차 목적지
SK텔레콤/PS&M 금산점,127.50122731090528,36.10015034144786,11,1470.1296296296296,,,,0,2차 목적지
명륜진사갈비/청주모충점,127.50122731090528,36.10015034144786,11,1765.5814814814817,,,,0,2차 목적지
적벽강가든,127.50122731090528,36.10015034144786,11,1159.46875,,,,0,2차 목적지
금산산림문화타운,127.50122731090528,36.10015034144786,11,1368.9316666666666,,,,0,2차 목적지
미락원,127.50122731090528,36.10015034144786,10,2036.2407407407409,,,,0,2차 목적지
장춘관/[중식],127.49682863286772,36.1008166030129,10,1723.4285714285716,,,,0,2차 목적지
원조풍원안창,127.50122731090528,36.10015034144786,10,1616.0925925925926,,,,0,2차 목적지
청강전통문화체험관,127.50120020550725,36.100133921641614,10,4607.875,,,,0,2차 목적지
레노마골프/대전둔산점,127.50122731090528,36.10015034144786,10,1596.5625,,,,0,2차 목적지
추어명장,127.50122731090528,36.10015034144786,10,1321.3166666666666,,,,0,2차 목적지
뚜쥬루/빵돌가마점,127.50122731090528,36.10015034144786,10,1656.2499999999998,,,,0,2차 목적지
명성각/[중식],127.50122731090528,36.10015034144786,10,2485.5925925925926,,,,0,2차 목적지
금산인삼도매시장,127.50122731090528,36.10015034144786,10,518.9266666666666,,,,0,2차 목적지
금산종합운동장,127.50122731090528,36.10015034144786,10,731.5999999999999,,,,0,2차 목적지
파리바게뜨/충남금산점,127.50122731090528,36.10015034144786,10,1299.6666666666667,,,,0,2차 목적지
시골추어탕,127.49682863286772,36.1008166030129,10,1386.8124999999998,,,,0,2차 목적지
신성유통,127.50122731090528,36.10015034144786,10,1470.796296296296,,,,0,2차 목적지
금산국제무예올림피아드,127.49894033593864,36.10132456713775,10,1502.7291666666667,,,,0,2차 목적지
오정농수산물도매시장,127.49682863286772,36.1008166030129,10,2044.9791666666667,,,,0,2차 목적지
국립어린이박물관,127.50122731090528,36.10015034144786,10,1092.6851851851852,,,,0,2차 목적지
박가네집,127.50122731090528,36.10015034144786,10,1900.4629629629628,,,,0,2차 목적지
홈플러스/논산점,127.50122731090528,36.10015034144786,9,491.6142857142858,,,,0,2차 목적지
완주와일드&로컬푸드축제,127.50122731090528,36.10015034144786,9,1227.5785714285712,,,,0,2차 목적지
옥천이원묘목유통센터,127.49682863286772,36.1008166030129,9,1837.1624999999997,,,,0,2차 목적지
계룡대쇼핑타운,127.50122731090528,36.10015034144786,9,1593.4499999999998,,,,0,2차 목적지
신세계백화점/대전신세계Art&Science,127.50122731090528,36.10015034144786,9,1212.1875,,,,0,2차 목적지
개미가든,127.50122731090528,36.10015034144786,9,1590.1333333333332,,,,0,2차 목적지
금산시네마,127.50122731090528,36.10015034144786,9,1643.04375,,,,0,2차 목적지
봉이호떡,127.49682863286772,36.1008166030129,9,1731.6000000000001,,,,0,2차 목적지
월영산출렁다리,127.49682863286772,36.1008166030129,9,1124.5666666666666,충남 금산군 제원면 천내리 168-5,127.59592144827683,36.11478807284895,0,2차 목적지
복수막국수,127.50122731090528,36.10015034144786,9,1321.1625000000001,,,,0,2차 목적지
금산보석사의은행나무,127.50122731090528,36.10015034144786,9,1630.875,,,,0,2차 목적지
금산어죽촌,127.49682863286772,36.1008166030129,9,661.1999999999999,,,,0,2차 목적지
짬뽕일번지/[중식],127.50122731090528,36.10015034144786,9,1498.2375000000002,,,,0,2차 목적지
보석사,127.49682863286772,36.1008166030129,8,842.1611111111113,,,,0,2차 목적지
한마음정육식당/옥천점,127.50122731090528,36.10015034144786,8,742.2666666666665,,,,0,2차 목적지
괴산올갱이,127.49682863286772,36.1008166030129,8,778.895238095238,,,,0,2차 목적지
김제지평선축제,127.49682863286772,36.1008166030129,8,1091.3555555555556,,,,0,2차 목적지
금산불쭈꾸미,127.50122731090528,36.10015034144786,8,1094.5066666666667,,,,0,2차 목적지
유성본가누룽지삼계탕,127.49682863286772,36.1008166030129,8,983.5041666666666,,,,0,2차 목적지
원골식당,127.49682863286772,36.1008166030129,8,1135.0666666666666,충남 금산군 제원면 천내리 254-1,127.5911984385141,36.115183669356064,0,2차 목적지
보은회인문화유산야행,127.50122731090528,36.10015034144786,8,1526.4666666666665,,,,0,2차 목적지
옛시민회관쉼터,127.50122731090528,36.10015034144786,8,1260.5333333333333,,,,0,2차 목적지
경남대학교,127.50122731090528,36.10015034144786,8,508.8,,,,0,2차 목적지
호돌이만두,127.50122731090528,36.10015034144786,8,1140.7777777777776,,,,0,2차 목적지
고령대가야시장,127.50122731090528,36.10015034144786,8,1004.6285714285714,,,,0,2차 목적지
궁무인텔,127.49682863286772,36.1008166030129,8,1710.283333333333,,,,0,2차 목적지
동구아름다운복지관,127.50122731090528,36.10015034144786,8,1408.0,,,,0,2차 목적지
천부,127.49894033593864,36.10132456713775,8,2147.1466666666665,,,,0,2차 목적지
진산메밀막국수,127.50122731090528,36.10015034144786,8,1170.5166666666667,,,,0,2차 목적지
대전전통중앙도매상가,127.49682863286772,36.1008166030129,8,1067.6333333333332,,,,0,2차 목적지
메차쿠차,127.50122731090528,36.10015034144786,8,1658.1,,,,0,2차 목적지
레인보우힐링센터,127.50122731090528,36.10015034144786,8,1479.573333333333,,,,0,2차 목적지
청담이상/관평점 [일식],127.50122731090528,36.10015034144786,8,1752.9333333333332,,,,0,2차 목적지
금산수삼도매센터73호,127.50122731090528,36.10015034144786,8,1413.8285714285714,,,,0,2차 목적지
황금장,127.50122731090528,36.10015034144786,8,1116.1,,,,0,2차 목적지
GM모텔,127.50122731090528,36.10015034144786,8,1081.5238095238094,,,,0,2차 목적지
GS타임즈전주고사동주차장,127.50122731090528,36.10015034144786,8,932.7333333333331,,,,0,2차 목적지
캐슬1477,127.50122731090528,36.10015034144786,8,1125.3555555555554,,,,0,2차 목적지
켐트로닉스/세종공장,127.50122731090528,36.10015034144786,7,1108.0416666666665,,,,0,2차 목적지
금산수삼센터,127.49682863286772,36.1008166030129,7,306.46666666666664,,,,0,2차 목적지
금산중앙식자재할인마트,127.49894033593864,36.10132456713775,7,1930.6000000000001,,,,0,2차 목적지
히스피/유천버드내점,127.49682863286772,36.1008166030129,7,1798.253333333333,,,,0,2차 목적지
청원생명축제,127.50122731090528,36.10015034144786,7,1408.4611111111108,,,,0,2차 목적지
리치베로니마트,127.50122731090528,36.10015034144786,7,845.4833333333336,,,,0,2차 목적지
라제통문,127.49682863286772,36.1008166030129,7,1522.5666666666668,,,,0,2차 목적지
맥우백년,127.49682863286772,36.1008166030129,7,689.0333333333335,,,,0,2차 목적지
롯데마트/군산점,127.50122731090528,36.10015034144786,7,1024.3333333333333,,,,0,2차 목적지
처음처럼,127.49682863286772,36.1008166030129,7,476.73333333333335,충남 금산군 금산읍 신대리 485-3,127.50822726744805,36.10156594441826,0,2차 목적지
인하주먹고기,127.50122731090528,36.10015034144786,7,803.2888888888889,,,,0,2차 목적지
벽골제,127.50122731090528,36.10015034144786,7,1027.9694444444444,,,,0,2차 목적지
영동전통시장,127.50122731090528,36.10015034144786,7,721.98,,,,0,2차 목적지
